cate,n,cate,base_rate,mean_len,mean_sent,prior_reviews,covid_share
Q1,40000,-0.0404,0.243,61.654,0.8133,121.8023,0.3806
Q2,40000,0.0036,0.1891,61.6105,0.8914,98.7742,0.34
Q3,39999,0.0278,0.164,59.7457,0.8941,91.2054,0.3254
Q4,40000,0.0533,0.1676,56.7812,0.8825,84.847,0.3203
Q5,40000,0.1153,0.2304,53.3401,0.7,73.1548,0.329
