path,baseline_Y1,R1_covid_Y1,R2_top30_Y1,R3_cityFE_Y1,baseline_Y2,R1_covid_Y2,R2_top30_Y2,R3_cityFE_Y2
Revisit intention (BI),0.2339*** (0.0107),0.2386*** (0.0125),0.2453*** (0.0140),0.2376*** (0.0222),0.0482*** (0.0029),0.0474*** (0.0030),0.0417*** (0.0036),0.0474*** (0.0062)
Attitude,0.1778*** (0.0176),0.1779*** (0.0193),0.1721*** (0.0245),0.2023*** (0.0386),0.0575*** (0.0041),0.0576*** (0.0044),0.0532*** (0.0049),0.0663*** (0.0082)
Subjective norm,-0.0805*** (0.0143),-0.0891*** (0.0149),-0.0675*** (0.0199),-0.0862** (0.0291),-0.0096* (0.0039),-0.0097* (0.0040),-0.0050 (0.0053),-0.0101 (0.0064)
Perceived behavioural control,-0.0611*** (0.0157),-0.0539*** (0.0163),-0.0819*** (0.0203),-0.0631 (0.0346),0.0291*** (0.0038),0.0295*** (0.0039),0.0257*** (0.0053),0.0235** (0.0075)
Satisfaction,0.0420*** (0.0106),0.0513*** (0.0123),0.0457*** (0.0133),0.0636* (0.0286),0.0083** (0.0032),0.0089** (0.0033),0.0070 (0.0044),0.0050 (0.0066)
