antecedent,a (X->BI),b (BI->Y),indirect a*b,MC 95% CI,direct c',direct p,total,mediation type
Attitude,0.0453,0.0482,0.00218,"[0.00179, 0.00261]",0.0575,0.0,0.0597,complementary (partial)
Subjective norm,-0.0684,0.0482,-0.0033,"[-0.00377, -0.00282]",-0.0096,0.0132,-0.0129,complementary (partial)
Perceived behavioural control,-0.0079,0.0482,-0.00038,"[-0.00056, -0.00021]",0.0291,0.0,0.0287,competitive (inconsistent)
Satisfaction,0.0178,0.0482,0.00086,"[0.00069, 0.00103]",0.0083,0.0084,0.0092,complementary (partial)
